Ti,Te,Rdif,Rdir,precip,ws,wd
21.15,-8.8,0.0,0.0,0.0,3.1,120.0
21.25,-8.0,0.0,0.0,0.0,3.6,130.0
21.5,-7.6,0.0,0.0,0.0,2.6,120.0
21.6,-7.2,0.0,0.0,0.0,3.1,120.0
21.65,-7.1,0.0,0.0,0.0,3.1,120.0
21.75,-7.3,0.0,0.0,0.0,3.6,100.0
21.65,-7.2,0.0,0.0,0.0,3.6,100.0
21.4,-7.2,0.0,0.0,0.0,3.1,120.0
21.200000000000003,-7.4,0.0,0.0,0.0,3.6,120.0
21.1,-7.8,0.0,0.0,0.0,3.1,130.0
21.1,-7.6,0.0,0.0,0.0,4.1,110.0
21.15,-7.5,0.0,0.0,0.0,3.1,110.0
21.2,-7.4,0.0,0.0,0.0,3.1,110.0
21.15,-7.1,0.0,0.0,0.0,3.1,120.0
21.15,-6.9,0.0,0.0,0.0,3.1,120.0
21.299999999999997,-7.1,0.0,0.0,0.0,3.1,90.0
21.35,-7.3,10.0,1.0,0.0,3.1,110.0
21.3,-7.3,30.0,1.0,0.0,3.6,110.0
21.25,-7.1,53.0,1.0,0.0,4.1,100.0
21.2,-7.0,55.0,1.0,0.0,3.6,110.0
21.2,-7.0,25.0,0.0,0.0,3.6,110.0
21.15,-7.1,4.0,1.0,0.0,2.6,110.0
21.1,-7.9,0.0,0.0,0.2,2.6,110.0
